treatment,treatment_en,control,outcome,outcome_en,outlength,frequency,att,patt,sig,measure,value,diff,diff_patt,max_diff,measure_en,max_diff_patt,outlength2,sig2,sig2_en,valueText1,outlength3
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,21,m,0.5,1.3,***,Kontrollgruppe,40.8,,,55.4,Kontrollgruppe,48.4,21.2,signifikant,significant,36.8,21
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,24,m,0.9,2.1,***,Kontrollgruppe,41.5,,,56.4,Kontrollgruppe,49.4,24.2,signifikant,significant,37.5,24
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,j,1.1,2.6,***,Kontrollgruppe,43,,,58.1,Kontrollgruppe,51.1,3.2,signifikant,significant,39,36
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,m,-3.8,-16.5,***,Kontrollgruppe,23.1,,,37.1,Kontrollgruppe,30.1,3.2,signifikant,significant,19.1,3
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,4,j,1,2.4,***,Kontrollgruppe,43.3,,,58.3,Kontrollgruppe,51.3,4.2,signifikant,significant,39.3,48
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,5,j,1.1,2.5,***,Kontrollgruppe,43.6,,,58.7,Kontrollgruppe,51.7,5.2,signifikant,significant,39.6,60
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,j,0.7,1.7,**,Kontrollgruppe,42.9,,,57.6,Kontrollgruppe,50.6,6.2,signifikant,significant,38.9,72
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,m,-1.5,-5.1,***,Kontrollgruppe,30.1,,,44.1,Kontrollgruppe,37.1,6.2,signifikant,significant,26.1,6
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Beschäftigung,Employment,9,m,-0.5,-1.5,***,Kontrollgruppe,33.9,,,47.9,Kontrollgruppe,40.9,9.2,signifikant,significant,29.9,9
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,1,j,-2.6,-20.5,***,Kontrollgruppe,12.8,,,26.8,Kontrollgruppe,19.8,1.2,signifikant,significant,8.8,12
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,12,m,-2.6,-20.5,***,Kontrollgruppe,12.8,,,26.8,Kontrollgruppe,19.8,12.2,signifikant,significant,8.8,12
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,15,m,-2.5,-19,***,Kontrollgruppe,13.4,,,27.4,Kontrollgruppe,20.4,15.2,signifikant,significant,9.4,15
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,18,m,-2.5,-17.9,***,Kontrollgruppe,13.8,,,27.8,Kontrollgruppe,20.8,18.2,signifikant,significant,9.8,18
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,2,j,-2.6,-17.7,***,Kontrollgruppe,14.7,,,28.7,Kontrollgruppe,21.7,2.2,signifikant,significant,10.7,24
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,21,m,-2.5,-17.4,***,Kontrollgruppe,14.2,,,28.2,Kontrollgruppe,21.2,21.2,signifikant,significant,10.2,21
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,24,m,-2.6,-17.7,***,Kontrollgruppe,14.7,,,28.7,Kontrollgruppe,21.7,24.2,signifikant,significant,10.7,24
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,j,-2.8,-16.1,***,Kontrollgruppe,17.2,,,31.2,Kontrollgruppe,24.2,3.2,signifikant,significant,13.2,36
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,m,-3.4,-33.7,***,Kontrollgruppe,10.1,,,24.1,Kontrollgruppe,17.1,3.2,signifikant,significant,6.1,3
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,4,j,-2.7,-13.7,***,Kontrollgruppe,19.7,,,33.7,Kontrollgruppe,26.7,4.2,signifikant,significant,15.7,48
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,5,j,-2.3,-10,***,Kontrollgruppe,22.8,,,36.8,Kontrollgruppe,29.8,5.2,signifikant,significant,18.8,60
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,j,-1.8,-6.9,***,Kontrollgruppe,26.1,,,40.1,Kontrollgruppe,33.1,6.2,signifikant,significant,22.1,72
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,m,-2.9,-25.2,***,Kontrollgruppe,11.6,,,25.6,Kontrollgruppe,18.6,6.2,signifikant,significant,7.6,6
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,9,m,-2.6,-20.9,***,Kontrollgruppe,12.3,,,26.3,Kontrollgruppe,19.3,9.2,signifikant,significant,8.3,9
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",1,j,0,0,,Kontrollgruppe,28.6,,,42.6,Kontrollgruppe,35.6,1.2,insignifikant,insignificant,24.6,12
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",12,m,0,0,,Kontrollgruppe,28.6,,,42.6,Kontrollgruppe,35.6,12.2,insignifikant,insignificant,24.6,12
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",15,m,0,0.1,,Kontrollgruppe,30.9,,,45,Kontrollgruppe,38,15.2,insignifikant,insignificant,26.9,15
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",18,m,0.4,1.4,***,Kontrollgruppe,32.2,,,46.7,Kontrollgruppe,39.7,18.2,signifikant,significant,28.200000000000003,18
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",2,j,1.3,4,***,Kontrollgruppe,33.7,,,49,Kontrollgruppe,42,2.2,signifikant,significant,29.700000000000003,24
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",21,m,0.9,2.6,***,Kontrollgruppe,33,,,47.9,Kontrollgruppe,40.9,21.2,signifikant,significant,29,21
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",24,m,1.3,4,***,Kontrollgruppe,33.7,,,49,Kontrollgruppe,42,24.2,signifikant,significant,29.700000000000003,24
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,j,1.5,4.2,***,Kontrollgruppe,35.2,,,50.7,Kontrollgruppe,43.7,3.2,signifikant,significant,31.200000000000003,36
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,m,-3,-16.8,***,Kontrollgruppe,18,,,32,Kontrollgruppe,25,3.2,signifikant,significant,14,3
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",4,j,1.3,3.5,***,Kontrollgruppe,35.5,,,50.8,Kontrollgruppe,43.8,4.2,signifikant,significant,31.5,48
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",5,j,1.6,4.4,***,Kontrollgruppe,36.1,,,51.8,Kontrollgruppe,44.8,5.2,signifikant,significant,32.1,60
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,j,1.4,3.9,***,Kontrollgruppe,35.8,,,51.2,Kontrollgruppe,44.2,6.2,signifikant,significant,31.799999999999997,72
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,m,-1.6,-6.8,***,Kontrollgruppe,23.6,,,37.6,Kontrollgruppe,30.6,6.2,signifikant,significant,19.6,6
Aktive Arbeitssuche (AA),Job search training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",9,m,-0.6,-2.1,***,Kontrollgruppe,26.6,,,40.6,Kontrollgruppe,33.6,9.2,signifikant,significant,22.6,9
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,1,j,-3.1,-5.7,***,Kontrollgruppe,54.2,,,68.2,Kontrollgruppe,61.2,1.2,signifikant,significant,50.2,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,12,m,-3.1,-5.7,***,Kontrollgruppe,54.2,,,68.2,Kontrollgruppe,61.2,12.2,signifikant,significant,50.2,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,15,m,0.6,1.2,*,Kontrollgruppe,51,,,65.7,Kontrollgruppe,58.7,15.2,insignifikant,insignificant,47,15
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,18,m,0.6,1.3,*,Kontrollgruppe,49.1,,,63.8,Kontrollgruppe,56.8,18.2,insignifikant,insignificant,45.1,18
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,2,j,-0.1,-0.1,,Kontrollgruppe,46.3,,,60.3,Kontrollgruppe,53.3,2.2,insignifikant,insignificant,42.3,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,21,m,0.4,0.8,,Kontrollgruppe,47.5,,,61.9,Kontrollgruppe,54.9,21.2,insignifikant,insignificant,43.5,21
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,24,m,-0.1,-0.1,,Kontrollgruppe,46.3,,,60.3,Kontrollgruppe,53.3,24.2,insignifikant,insignificant,42.3,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,j,0.4,0.9,,Kontrollgruppe,40.4,,,54.8,Kontrollgruppe,47.8,3.2,insignifikant,insignificant,36.4,36
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,m,-11.5,-16.7,***,Kontrollgruppe,69,,,83,Kontrollgruppe,76,3.2,signifikant,significant,65,3
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,4,j,0.5,1.5,,Kontrollgruppe,36.1,,,50.6,Kontrollgruppe,43.6,4.2,insignifikant,insignificant,32.1,48
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,5,j,0.1,0.3,,Kontrollgruppe,33.1,,,47.2,Kontrollgruppe,40.2,5.2,insignifikant,insignificant,29.1,60
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,j,1.2,3.7,*,Kontrollgruppe,31.1,,,46.2,Kontrollgruppe,39.2,6.2,insignifikant,insignificant,27.1,72
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,m,-8,-13.1,***,Kontrollgruppe,61.2,,,75.2,Kontrollgruppe,68.2,6.2,signifikant,significant,57.2,6
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,9,m,-5.7,-9.9,***,Kontrollgruppe,57.2,,,71.2,Kontrollgruppe,64.2,9.2,signifikant,significant,53.2,9
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,1,j,7.8,27.4,***,Kontrollgruppe,28.4,,,50.2,Kontrollgruppe,43.2,1.2,signifikant,significant,24.4,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,12,m,7.8,27.4,***,Kontrollgruppe,28.4,,,50.2,Kontrollgruppe,43.2,12.2,signifikant,significant,24.4,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,15,m,3.4,11.3,***,Kontrollgruppe,30.4,,,47.8,Kontrollgruppe,40.8,15.2,signifikant,significant,26.4,15
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,18,m,2.8,8.9,***,Kontrollgruppe,31.4,,,48.2,Kontrollgruppe,41.2,18.2,signifikant,significant,27.4,18
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,2,j,2.2,6.6,***,Kontrollgruppe,32.9,,,49,Kontrollgruppe,42,2.2,signifikant,significant,28.9,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,21,m,2,6.3,***,Kontrollgruppe,32.3,,,48.3,Kontrollgruppe,41.3,21.2,signifikant,significant,28.299999999999997,21
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,24,m,2.2,6.6,***,Kontrollgruppe,32.9,,,49,Kontrollgruppe,42,24.2,signifikant,significant,28.9,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,j,0.6,1.8,*,Kontrollgruppe,35.2,,,49.9,Kontrollgruppe,42.9,3.2,insignifikant,insignificant,31.200000000000003,36
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,m,17.6,97.1,***,Kontrollgruppe,18.1,,,49.7,Kontrollgruppe,42.7,3.2,signifikant,significant,14.100000000000001,3
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,4,j,0.7,1.8,*,Kontrollgruppe,36.1,,,50.7,Kontrollgruppe,43.7,4.2,insignifikant,insignificant,32.1,48
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,5,j,1.1,3,*,Kontrollgruppe,35.8,,,50.9,Kontrollgruppe,43.9,5.2,insignifikant,insignificant,31.799999999999997,60
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,j,0.5,1.5,,Kontrollgruppe,36.1,,,50.6,Kontrollgruppe,43.6,6.2,insignifikant,insignificant,32.1,72
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,m,14.2,60.3,***,Kontrollgruppe,23.6,,,51.8,Kontrollgruppe,44.8,6.2,signifikant,significant,19.6,6
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Beschäftigung,Employment,9,m,11.1,42,***,Kontrollgruppe,26.3,,,51.4,Kontrollgruppe,44.4,9.2,signifikant,significant,22.3,9
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,1,j,-4.7,-27.1,***,Kontrollgruppe,17.4,,,31.4,Kontrollgruppe,24.4,1.2,signifikant,significant,13.399999999999999,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,12,m,-4.7,-27.1,***,Kontrollgruppe,17.4,,,31.4,Kontrollgruppe,24.4,12.2,signifikant,significant,13.399999999999999,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,15,m,-4.1,-21.8,***,Kontrollgruppe,18.6,,,32.6,Kontrollgruppe,25.6,15.2,signifikant,significant,14.600000000000001,15
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,18,m,-3.4,-17.5,***,Kontrollgruppe,19.5,,,33.5,Kontrollgruppe,26.5,18.2,signifikant,significant,15.5,18
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,2,j,-2.1,-10.1,***,Kontrollgruppe,20.9,,,34.9,Kontrollgruppe,27.9,2.2,signifikant,significant,16.9,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,21,m,-2.4,-12,***,Kontrollgruppe,20.2,,,34.2,Kontrollgruppe,27.2,21.2,signifikant,significant,16.2,21
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,24,m,-2.1,-10.1,***,Kontrollgruppe,20.9,,,34.9,Kontrollgruppe,27.9,24.2,signifikant,significant,16.9,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,j,-1,-4,**,Kontrollgruppe,24.3,,,38.3,Kontrollgruppe,31.3,3.2,signifikant,significant,20.3,36
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,m,-6.1,-47.1,***,Kontrollgruppe,12.9,,,26.9,Kontrollgruppe,19.9,3.2,signifikant,significant,8.9,3
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,4,j,-1.2,-4.3,**,Kontrollgruppe,27.8,,,41.8,Kontrollgruppe,34.8,4.2,signifikant,significant,23.8,48
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,5,j,-1.2,-3.8,*,Kontrollgruppe,31.1,,,45.1,Kontrollgruppe,38.1,5.2,insignifikant,insignificant,27.1,60
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,j,-1.8,-5.4,*,Kontrollgruppe,32.9,,,46.9,Kontrollgruppe,39.9,6.2,insignifikant,insignificant,28.9,72
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,m,-6.2,-40.6,***,Kontrollgruppe,15.3,,,29.3,Kontrollgruppe,22.3,6.2,signifikant,significant,11.3,6
Training (TRAIN),Social training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,9,m,-5.4,-32.6,***,Kontrollgruppe,16.5,,,30.5,Kontrollgruppe,23.5,9.2,signifikant,significant,12.5,9
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",1,j,6.6,33.2,***,Kontrollgruppe,19.7,,,40.3,Kontrollgruppe,33.3,1.2,signifikant,significant,15.7,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",12,m,6.6,33.2,***,Kontrollgruppe,19.7,,,40.3,Kontrollgruppe,33.3,12.2,signifikant,significant,15.7,12
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",15,m,1.5,7,***,Kontrollgruppe,21.8,,,37.3,Kontrollgruppe,30.3,15.2,signifikant,significant,17.8,15
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",18,m,0.5,2.1,*,Kontrollgruppe,23.1,,,37.5,Kontrollgruppe,30.5,18.2,insignifikant,insignificant,19.1,18
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",2,j,0.6,2.4,*,Kontrollgruppe,24.8,,,39.4,Kontrollgruppe,32.4,2.2,insignifikant,insignificant,20.8,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",21,m,-0,-0,,Kontrollgruppe,24.1,,,38.1,Kontrollgruppe,31.1,21.2,insignifikant,insignificant,20.1,21
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",24,m,0.6,2.4,*,Kontrollgruppe,24.8,,,39.4,Kontrollgruppe,32.4,24.2,insignifikant,insignificant,20.8,24
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,j,0.1,0.5,,Kontrollgruppe,27.4,,,41.5,Kontrollgruppe,34.5,3.2,insignifikant,insignificant,23.4,36
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,m,17.1,137.2,***,Kontrollgruppe,12.4,,,43.5,Kontrollgruppe,36.5,3.2,signifikant,significant,8.4,3
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",4,j,0.2,0.7,,Kontrollgruppe,28.8,,,43,Kontrollgruppe,36,4.2,insignifikant,insignificant,24.8,48
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",5,j,0.9,3.1,*,Kontrollgruppe,28.9,,,43.8,Kontrollgruppe,36.8,5.2,insignifikant,insignificant,24.9,60
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,j,1.2,4.2,*,Kontrollgruppe,29.5,,,44.8,Kontrollgruppe,37.8,6.2,insignifikant,insignificant,25.5,72
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,m,13.9,87.1,***,Kontrollgruppe,15.9,,,43.8,Kontrollgruppe,36.8,6.2,signifikant,significant,11.9,6
Training (TRAIN),Social training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",9,m,11.2,61.9,***,Kontrollgruppe,18.1,,,43.3,Kontrollgruppe,36.3,9.2,signifikant,significant,14.100000000000001,9
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,1,j,4.6,7.9,***,Kontrollgruppe,57.8,,,76.4,Kontrollgruppe,69.4,1.2,signifikant,significant,53.8,12
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,12,m,4.6,7.9,***,Kontrollgruppe,57.8,,,76.4,Kontrollgruppe,69.4,12.2,signifikant,significant,53.8,12
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,15,m,3.7,6.8,***,Kontrollgruppe,55.1,,,72.8,Kontrollgruppe,65.8,15.2,signifikant,significant,51.1,15
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,18,m,1.8,3.4,***,Kontrollgruppe,53.7,,,69.6,Kontrollgruppe,62.6,18.2,signifikant,significant,49.7,18
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,2,j,-1.2,-2.3,***,Kontrollgruppe,50.5,,,64.5,Kontrollgruppe,57.5,2.2,signifikant,significant,46.5,24
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,21,m,0.5,1,*,Kontrollgruppe,52.5,,,67.1,Kontrollgruppe,60.1,21.2,insignifikant,insignificant,48.5,21
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,24,m,-1.2,-2.3,***,Kontrollgruppe,50.5,,,64.5,Kontrollgruppe,57.5,24.2,signifikant,significant,46.5,24
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,j,-0.5,-1,*,Kontrollgruppe,44.5,,,58.5,Kontrollgruppe,51.5,3.2,insignifikant,insignificant,40.5,36
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,m,-55.3,-78.1,***,Kontrollgruppe,70.8,,,84.8,Kontrollgruppe,77.8,3.2,signifikant,significant,66.8,3
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,4,j,0.3,0.6,,Kontrollgruppe,40.1,,,54.3,Kontrollgruppe,47.3,4.2,insignifikant,insignificant,36.1,48
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,5,j,0.3,0.9,,Kontrollgruppe,36.4,,,50.7,Kontrollgruppe,43.7,5.2,insignifikant,insignificant,32.4,60
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,j,-0.3,-0.8,,Kontrollgruppe,33.9,,,47.9,Kontrollgruppe,40.9,6.2,insignifikant,insignificant,29.9,72
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,m,-29.1,-45.4,***,Kontrollgruppe,64.1,,,78.1,Kontrollgruppe,71.1,6.2,signifikant,significant,60.099999999999994,6
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,9,m,-3.4,-5.7,***,Kontrollgruppe,60.6,,,74.6,Kontrollgruppe,67.6,9.2,signifikant,significant,56.6,9
"Sozialökonomische Betriebe und
Gemeinnützige Beschäftigungsprojekte (SÖB/GBP)",Direct job creation,Annahme: keine Mitnahmen,Beschäftigung,Employment,1,j,1.6,5.5,***,Kontrollgruppe,29.1,,,44.7,Kontrollgruppe,37.7,1.2,signifikant,significant,25.1,12
